roman,urdu,english,section_ids,notes
mehlat barhana|extension|tareekh barhana|waqt barhana,مہلت میں توسیع,extension of time for furnishing returns,ITO2001-s119,
dair|dair se|late|der se|takheer,تاخیر|دیر سے,late / after the due date,ITO2001-s182A,
jurmana|jurmaana|penalty|penalti|fine,جرمانہ,penalty,ITO2001-s182,
default surcharge|late payment surcharge,ڈیفالٹ سرچارج,default surcharge (on late payment of tax),ITO2001-s205,
wealth statement|daulat ka goshwara|assets ki tafseel|asason ka gosh wara|wealth statment,ویلتھ اسٹیٹمنٹ|دولت کا گوشوارہ|اثاثوں کا گوشوارہ,wealth statement,ITO2001-s116,
asase|asasay|asaase|assets|jaidad,اثاثے|اثاثہ جات|جائیداد,assets,ITO2001-s116,
nazar sani|nazarsani|revision|tarmeem|amend,نظرثانی|ترمیم,revision / amendment,ITO2001-s122 ITO2001-s114,
appeal|apeel|apil|appeal karna,اپیل,appeal,ITO2001-s127 ITO2001-s131,
commissioner appeals|commissioner appeal,کمشنر اپیلز,Commissioner (Appeals),ITO2001-s127,
tribunal|appellate tribunal|atir,ٹریبونل|اپیلیٹ ٹریبونل,Appellate Tribunal Inland Revenue,ITO2001-s130 ITO2001-s131,
high court|haikort|hai court,ہائی کورٹ,High Court (reference),ITO2001-s133,
notice|notis|nottis,نوٹس,notice,ITO2001-s176 ITO2001-s218,
audit|odit|jaanch parhtal|jaanch,آڈٹ|جانچ پڑتال,audit,ITO2001-s177,
assessment|tashkhees|tashkhis,تشخیص|اسیسمنٹ,assessment,ITO2001-s120,
best judgement|andaze se tax|best judgment,بہترین فیصلہ|اندازے سے,best judgement assessment,ITO2001-s121,
record|rikaard|hisaab kitaab|hisab kitab|khata|books of accounts,ریکارڈ|حساب کتاب|کھاتہ,records / accounts,ITO2001-s174,
ntn|national tax number|tax number,این ٹی این|نیشنل ٹیکس نمبر,National Tax Number (NTN),ITO2001-s181 ITO2001-s181C,
registration|registration karwana|register hona|rajistreshan,رجسٹریشن|اندراج,taxpayer's registration,ITO2001-s181,
cnic|shanakhti card|id card|nadra,شناختی کارڈ|نادرا,CNIC / NADRA,ITO2001-s175B,
kiraya|kiraaya|kiraya dar|rent|rent pe dena|karaya,کرایہ|کرایہ دار,rent,ITO2001-s155 ITO2001-s15,
kiraya ki amdani|rental income|kiraye ki amdani|makan ka kiraya,کرایہ کی آمدنی,income from property (rent),ITO2001-s15 ITO2001-s155,
makan|makaan|ghar|kothi|house|flat|apartment,مکان|گھر|کوٹھی|فلیٹ,house / immovable property,,
ghair manqoola jaidad|ghair manqula|property|plot|zameen|zamin|immovable property,غیر منقولہ جائیداد|پراپرٹی|پلاٹ|زمین,immovable property,ITO2001-s236C ITO2001-s236K,
property khareedna|plot khareedna|kharid|khareed|khareedari|purchase,خریداری|خریدنا,purchase (acquisition),ITO2001-s236K,
property bechna|farokht|bechna|bech|sale,فروخت|بیچنا,sale / disposal,ITO2001-s236C,
intiqal|inteqal|transfer|muntaqili,انتقال|منتقلی,transfer (of immovable property),ITO2001-s236C ITO2001-s236K,
capital gain|munafa|mnafa|nafa|faida,کیپیٹل گین|منافع|نفع,capital gain / gain on disposal,ITO2001-s37,
shares|hisas|stock|share bazar|stock exchange,حصص|شیئرز|اسٹاک,shares / securities,ITO2001-s37A,
dividend|munafa munqasma|devidend,ڈیویڈنڈ|منافع منقسمہ,dividend,ITO2001-s5 ITO2001-s150,
sood|munafa bank|bank ka munafa|profit on debt|interest|byaaj|biyaj,سود|بینک منافع,profit on debt / interest,ITO2001-s7B ITO2001-s151,
bachat|bachat account|savings|saving certificate|national savings|qaumi bachat,بچت|قومی بچت,savings / profit on debt from savings schemes,ITO2001-s151,
bank|bainak,بینک,bank / banking company,,
naqd|cash|kaish|nakad,نقد|کیش,cash,,
cash nikalna|cash nikalwana|cash withdrawal|paise nikalna,نقد رقم نکلوانا|کیش نکالنا,cash withdrawal,ITO2001-s231AB,
gaari|gari|gaadi|car|motor car|vehicle|motor gaari,گاڑی|موٹر کار,motor vehicle,ITO2001-s231B ITO2001-s234,
gaari registration|gari registration|token tax,گاڑی کی رجسٹریشن,registration of motor vehicle (advance tax),ITO2001-s231B,
bijli|bijli ka bill|electricity|bijli bill,بجلی|بجلی کا بل,electricity consumption (advance tax on bills),ITO2001-s235,
phone|mobile|mobile load|internet|telephone,فون|موبائل|انٹرنیٹ,telephone and internet users,ITO2001-s236,
baahar|bahar|bairun e mulk|abroad|foreign|videsh,بیرون ملک|باہر,abroad / foreign,,
bairuni amdani|bahar ki amdani|foreign income|foreign source income,غیر ملکی آمدنی|بیرونی آمدنی,foreign-source income,ITO2001-s101 ITO2001-s102,
tarsilat|remittance|remitance|paisa bhejna|bahar se paisa|bahar paisa bhejna,ترسیلات زر|رقم بھیجنا,remittance,ITO2001-s236Y,
card se payment|debit card|credit card|bahar card se,کارڈ سے ادائیگی,payment by debit/credit card abroad,ITO2001-s236Y,
freelancer|freelancing|free lancer|online kaam,فری لانسر|فری لانسنگ,freelancer / export of IT services,ITO2001-s154A,
software export|it export|it services|pseb,آئی ٹی برآمدات|سافٹ ویئر,export of IT and IT-enabled services (PSEB),ITO2001-s154A ITO2001-sch1-pIII-divIVA,
export|bar amad|baramadat|baramad,برآمد|برآمدات,export,ITO2001-s154 ITO2001-s154A,
import|dar amad|daramad,درآمد|درآمدات,import,ITO2001-s148,
tijarat|karobar|kaarobaar|business|dukaan|dukan|dhanda,کاروبار|تجارت|دکان,business,ITO2001-s18,
dukandar|shopkeeper|chhota tajir|small trader|tajir,دکاندار|تاجر,retailer / small trader,ITO2001-s99B ITO2001-s236H,
dealer|distributor|thok farosh,ڈیلر|ڈسٹری بیوٹر|تھوک فروش,distributor / dealer / wholesaler,ITO2001-s236G,
khurda farosh|retailer|parchoon,خوردہ فروش|پرچون,retailer,ITO2001-s236H,
theka|thekedar|contract|contractor|thekay,ٹھیکہ|ٹھیکیدار,contract / contractor,ITO2001-s153,
supply|farahmi|saman|maal|goods,فراہمی|سامان|مال,supply of goods,ITO2001-s153,
khidmat|khidmaat|services|service,خدمات|سروس,services,ITO2001-s153,
adaigi|payment|paisay dena,ادائیگی,payment,,
ghair muqeem|ghair rahaishi|non resident|non-resident|pardesi,غیر مقیم|نان ریزیڈنٹ,non-resident person,ITO2001-s81 ITO2001-s152,
muqeem|rahaishi|resident|resident hona,مقیم|ریزیڈنٹ,resident person,ITO2001-s81 ITO2001-s82,
din|dino|days|183 din|120 din,دن,days (residence test),ITO2001-s82,
overseas pakistani|samandar par pakistani|bahar rehne wala,سمندر پار پاکستانی,overseas Pakistani / returning expatriate,ITO2001-s51,
wapas aana|returning expatriate|watan wapsi,وطن واپسی,returning expatriate,ITO2001-s51,
zakat|zakaat,زکوٰۃ|زکوة,Zakat (deductible allowance),ITO2001-s60,
khairat|khairaat|atiya|donation|chanda|sadqa,خیرات|عطیہ|چندہ,charitable donation (tax credit),ITO2001-s61,
pension|penshan,پنشن,pension,ITO2001-s63 ITO2001-sch2-pI-cl12,
pension fund|approved pension fund|vps,پنشن فنڈ,approved pension fund (tax credit),ITO2001-s63,
gratuity|grachuity|graituity,گریجویٹی,gratuity,ITO2001-sch2-pI-cl13,
provident fund|pf|pravident fund,پراویڈنٹ فنڈ,provident fund,,
fees|fee|school fees|tuition fee|taleemi akhrajat|parhai ka kharcha,فیس|ٹیوشن فیس|تعلیمی اخراجات,education expenses (deductible allowance),ITO2001-s60D,
bachay|bachon|bache|children|aulad,بچے|بچوں|اولاد,children,ITO2001-s60D ITO2001-s91,
nabaligh|minor|nabalig,نابالغ,minor child,ITO2001-s91,
biwi|shohar|miyan biwi|spouse|zauja,بیوی|شوہر|زوجہ,spouse,,
wirasat|wirsa|wirasat mein mili|inheritance|warisan|mayyat,وراثت|ورثہ|میت,inheritance / deceased individual,ITO2001-s87,
tohfa|tohfe|gift|hiba,تحفہ|ہبہ,gift,ITO2001-s39,
inaam|inam|prize|lottery|prize bond|inamat,انعام|لاٹری|پرائز بانڈ,prizes and winnings,ITO2001-s156,
zari|zaraat|kheti|fasal|fasl|kisan|agriculture|zameendar|zamindar,زراعت|کھیتی|فصل|کسان|زمیندار,agricultural income (federal exemption),ITO2001-s41,
wafaqi|federal|markazi,وفاقی,federal,,
subai|provincial|suba|province,صوبائی|صوبہ,provincial,,
chhoot|chhut|riyayat|exemption|mustasna|mu'af|maaf|maafi,چھوٹ|رعایت|استثنیٰ|معاف,exemption,ITO2001-s53,
tax credit|credit,ٹیکس کریڈٹ,tax credit,ITO2001-s65,
shareh|sharah|rate|ret|percent|feesad|fisad,شرح|فیصد,rate of tax,ITO2001-sch1-pI-divI,
slab|slabs|darja|hadd,سلیب|حد,income slab / band,ITO2001-sch1-pI-divI,
kam az kam tax|minimum tax|kam se kam tax,کم از کم ٹیکس,minimum tax,ITO2001-s113,
super tax|supar tax,سپر ٹیکس,super tax on high earning persons,ITO2001-s4C,
surcharge|sarcharge,سرچارج,surcharge,ITO2001-s4AB,
tax saal|tax sal|tax year|mali saal|maali saal|fiscal year|financial year,ٹیکس سال|مالی سال,tax year (1 July to 30 June; named after the year it ends),ITO2001-s74,
budget|finance act|finance bill|bajat,بجٹ|فنانس ایکٹ,Finance Act,,
fbr|federal board of revenue|board,ایف بی آر,Federal Board of Revenue,,
iris|portal|online portal|e-filing,آئرس|پورٹل,IRIS e-filing portal,ITO2001-s118,
certificate|sanad|tax certificate|kati hui raqam ka certificate,سرٹیفکیٹ|سند,certificate of collection or deduction of tax,ITO2001-s164,
kam shareh certificate|exemption certificate|lower rate certificate,کم شرح سرٹیفکیٹ,exemption or lower rate certificate,ITO2001-s159,
statement|goshwara withholding|withholding statement,اسٹیٹمنٹ,withholding statement,ITO2001-s165,
tax jama karwana|jama karwana|tax dena|ada karna|tax bharna,ٹیکس جمع کروانا|ادا کرنا,payment of tax,ITO2001-s137 ITO2001-s160,
baqaya|bakaya|arrears|wajibul ada|wajib ul ada,بقایا|واجب الادا,tax arrears / tax payable,ITO2001-s137 ITO2001-s138,
wasooli karwai|recovery|qurqi|attachment,وصولی کی کارروائی|قرقی,recovery of tax,ITO2001-s138 ITO2001-s140,
chhupana|chupana|concealment|chhupi amdani,چھپانا|پوشیدہ آمدنی,concealment of income,ITO2001-s192A,
na maloom amdani|unexplained income|be hisab paisa|zaraye amdani,نامعلوم آمدنی|ذرائع آمدن,unexplained income or assets,ITO2001-s111,
muqaddama|prosecution|saza|jail|qaid,مقدمہ|سزا|قید,prosecution / offences,ITO2001-s191,
company|kampani|firm,کمپنی|فرم,company,ITO2001-s80 ITO2001-s94,
aop|association of persons|shiraakat|partnership|sharakat,شراکت داری|ایسوسی ایشن آف پرسنز,association of persons (AOP) / partnership,ITO2001-s92,
fard|shakhs|individual|shakhsi,فرد|شخص|انفرادی,individual,ITO2001-s80,
shaadi hall|marriage hall|function|taqreeb|shaadi,شادی ہال|تقریب,functions and gatherings (advance tax),ITO2001-s236CB,
neelami|nilami|auction,نیلامی,sale by auction,ITO2001-s236A,
petrol|petroleum|pump,پیٹرول|پیٹرولیم,petroleum products,ITO2001-s156A,
commission|kamishan|brokerage|dalali,کمیشن|دلالی|بروکریج,brokerage and commission,ITO2001-s233,
ghar ka kaam wala|domestic worker|foreign maid|khansama,گھریلو ملازم,foreign domestic workers,ITO2001-s231C,
perks|perquisites|sahuliat|marayat|benefits,مراعات|سہولیات,perquisites / value of benefits provided by employer,ITO2001-s13,
kharcha|kharche|akhrajat|expenses,اخراجات|خرچہ,expenses / deductions,ITO2001-s20,
nuqsan|nuqsaan|khasara|loss,نقصان|خسارہ,loss,ITO2001-s56 ITO2001-s57,
aage le jana|carry forward,آگے لے جانا,carry forward of losses,ITO2001-s57,
farsoodgi|depreciation|ghisai,فرسودگی|گھساوٹ,depreciation,ITO2001-s22,
qarz|loan|udhaar|udhar,قرض|ادھار,debt / loan,,
ghar ka qarz|house loan|mortgage|home loan,گھر کا قرض,loan for house construction or purchase,ITO2001-s63A,
mulk|pakistan,ملک|پاکستان,Pakistan,,
kitna|kitni|kitne|kya shareh,کتنا|کتنی|کتنے,how much,,
kab|kab tak|kis tareekh,کب|کب تک,when / by what date,,
lagta|lagega|lagay ga|lagta hai|lagti,لگتا|لگے گا,is charged / applies,,
bharna|dena|dena parega,بھرنا|دینا,to pay,,
zaruri|zaroori|lazmi|laazmi,ضروری|لازمی,required / mandatory,,
chhoot hai|mu'af hai|tax nahi,ٹیکس نہیں|معاف ہے,is exempt,ITO2001-s53,
builder|developer|tameer|tameerat,بلڈر|ڈویلپر|تعمیرات,builders and developers,ITO2001-s7C ITO2001-s7D,
sukuk,صکوک,sukuk,ITO2001-s5AA,
insurance|beema|bima|takaful,انشورنس|بیمہ|تکافل,insurance,ITO2001-s99,
social media|youtube|youtuber|tiktok|content creator,سوشل میڈیا|یوٹیوب,revenues from social media / digital content,ITO2001-s154B,
online marketplace|daraz|online dukan|e-commerce,آن لائن مارکیٹ پلیس,online marketplace,ITO2001-s165C,
digital|digital services|netflix|google ads,ڈیجیٹل,payments for digital transactions / services,ITO2001-s6A,
bonus shares|bonus hisas,بونس شیئرز,bonus shares,ITO2001-s236Z,
foreign tax|bahar tax diya|double tax|dohra tax,دوہرا ٹیکس|غیر ملکی ٹیکس,foreign tax credit / double taxation,ITO2001-s103 ITO2001-s107,
qanoon|qanun|ordinance|ain,قانون|آرڈیننس,law / Ordinance,,
qaida|qawaid|qawaneen|rules,قاعدہ|قواعد,Income Tax Rules,,
dafa|dafah|daf'a|section,دفعہ,section,,
jadwal|schedule|shedule,جدول|شیڈول,Schedule,,
shiq|clause|shaq,شق,clause,,
sarkari mulazim|government employee|sarkari naukri,سرکاری ملازم,government employee,,
fauj|army|armed forces|faujion,فوج|مسلح افواج,armed forces,,
bewa|widow|yateem|orphan,بیوہ|یتیم,widow / orphan,,
buzurg|senior citizen|60 saal|budhe,بزرگ|سینئر سٹیزن,senior citizen,,
maazoor|disabled|mazoor|mazur,معذور,person with disability,,
scholarship|wazifa|wazeefa,وظیفہ|اسکالرشپ,scholarship,ITO2001-s47,
nafaqa|kharcha pani|alimony|support payment,نفقہ,support payments under an agreement to live apart,ITO2001-s48,
mushtarka|joint|sanjha|joint owners,مشترکہ|سانجھا,joint owners,ITO2001-s66,
market value|bazari qeemat|fair market value|dc rate|fbr value,بازاری قیمت|مارکیٹ ویلیو,fair market value,ITO2001-s68,
qeemat|keemat|price|value,قیمت,value / consideration,,
lakh|laakh|lac,لاکھ,lakh (Rs. 100000),,"1 lakh = Rs. 100,000"
crore|karor|karod,کروڑ,crore (Rs. 10 million),,"1 crore = Rs. 10,000,000"
rupay|rupees|rs|pkr,روپے,rupees,,
mahana|monthly|mahina|har mahine,ماہانہ|مہینہ,monthly,,
salana|annual|saal ka|yearly|saalana,سالانہ,annual,,
